name,type,about,employees,employees_latest,growth_stage,traffic_summary,launch_year,has_promising_founder,has_strong_founder,has_super_founder,total_funding,last_funding,company_status,last_updated_utc,created_utc,employee_3_months_growth_unique,job_openings,kpi_summary->last_update_date_utc,team->total,traffic->visitors,3d technology,artificial intelligence,augmented reality,autonomous & sensor tech,big data,blockchain,computer vision,connected device,deep learning,deep tech,hardware,iot internetofthings,machine learning,mobile app,nanotech,natural language processing,quantum technologies,recognition technology,virtual reality,Status
TrustYou,corporate,"Online Reputation Management for Hotels, Destinations, Intermediaries Did you hear? TrustYou acquires guest messaging service Checkmate. Read more We’re hiring! Start your own adventure and become part of the TrustYou team. View openings Company Overview Careers Partners Executive Team Investors Events Products TrustYou Meta-Review TrustYou Messaging TrustYou Stars TrustYou Analytics   Radar Resources Case studies White papers Best practices Blog Press Releases Contact Us English Français Deutsch Italiano Español 日本語 Sign in Company Overview Careers Partners Executive Team Investors Events Products TrustYou Meta-Review TrustYou Messaging TrustYou Stars TrustYou Analytics   Radar Resources Case studies White papers Best practices Blog Press Releases Contact Us English Français Deutsch Italiano Español 日本語 Sign in Manage your reputation while on the go with our mobile app, TrustYou Radar! Launch Mobile App or Sign in Go Back The world's largest guest feedback platform Learn More Request a Demo Oops, you haven't selected a hotel yet. Didn't find your hotel? Get in touch now! Solutions for every stage of the guest journey From booking your hotel until after the guests check out, TrustYou's products help hotels leverage guest feedback to impact the entire guest journey. Impact Hotel Search and Bookings on Scale Your TrustScore and Meta-Review influence millions of booking decisions on Google Search and Maps as well as on KAYAK, Hotels.com, Skyscanner, and 100+ more sites. Promote your reputation with the use of Rich Snippets and encourage travelers to book direct. Learn More Create Positive On-Site Experiences Real-Time Messaging is the ideal way to communicate with guests during their onsite experience. Improve your hotel’s service onsite and receive better reviews from happier guests with TrustYou’s newest product, TrustYou Messaging. Learn More Enhance Post-Stay Feedback The TrustYou Stars guest survey solution helps hotels solicit post-stay guest feedback and increase their TrustScore. Collect and push guest surveys seamlessly into Google to gain more visibility within search rankings. Learn how Ayres Hotels increased its TrustScore by 4% and number of reviews on Google by 3,340%. Learn More Gain Guest Insights to Drive Future Bookings TrustYou Analytics helps hotels to quickly understand, respond, and improve upon guest feedback in one dashboard - from reviews across the web, to sophisticated guest surveys, to social media posts. Learn how AccorHotels improved its operations, review scores, and reputation across the web. Learn More Leverage traveler insights to improve and market your hotel to the world Get Started! Trusted by over 50,000hotels worldwide Partnered with the world'sleading travel companies All hotel reviews. All in one place. TrustYou collects and analyzes over 3 million guest reviews, surveys, and social posts from all across the web, every week, for 500,000 hotels. Providing your hotel the best insight into what your guests are saying. More In The News Press Releases Customer Service Brand Guidelines Imprint Terms   Conditions EU Terms   Conditions Non-EU Help Social Twitter Facebook Google+ LinkedIn GitHub StackOverflow Latest press release TrustYou Publishes Free E-book: A Hotelier’s Guide to Designing Smart Guest Surveys Published on September 6, 2016 Munich, 6 September 2016 – Receiving and managing feedback is essential for hotels to improve operations, stay ahead of the competition, obtain valuable insights, and enable the best possible experience for their guests. TrustYou, the world’s largest guest feedback platform and expert in sophisticated hotel technology, offers TrustYou Stars, a guest satisfaction survey solution that… read more » © 2016 Copyright TrustYou",51-200,141.0,late growth,542K,2008.0,False,True,False,4.55,,acquired,2022-09-01 03:11:44,2013-10-01 11:00:00,,4,2022-03-06 13:57:59,11,542045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Leads
pathfindr ApS,company,"We help you to individualise your app with personal communication through video messages and screen recording. 

-> Add pre built recorders and video players
Wherever you have text input today you can upgrade it to include a video and screen recorder.

-> No need for endless sprints
Just use the pathfindr API and infrastructure to handle transfer, encoding, storage and streaming videos - fast and securely. Data never leaves the EU and we are ISAE 3000 certified.

-> Users spend time where they feel appreciated
Users stay where they feel connected. By enabling face to face user interaction you prevent your users from getting yet another app.",2-10,9.0,seed,,2018.0,False,False,False,0.0,,operational,2022-08-19 16:31:26,2022-07-19 16:09:49,,0,2022-07-19 16:13:32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Leads
HealthCaters,company,HealthCaters is a connected care solution for companies that allows them to empower their employees to take control of their health.,2-10,8.0,seed,,2020.0,True,False,False,0.0,,operational,2022-07-14 21:15:09,2021-11-08 15:45:03,,0,2022-02-27 18:11:20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Leads
Kollabo,company,"Thanks to our unique and large network of temporary offices and our qualified team, we excel at finding the perfect match for job seekers and staffing agencies. Never before has the recruiting process been so easy and hassle-free for you. Become part of our network and experience the magic. It can be that simple with Kollabo – We make work easy.",11-50,14.0,early growth,16K,2018.0,False,False,False,2.78,2.2,operational,2022-08-25 15:32:53,2020-03-23 10:43:13,,0,2022-02-08 05:00:03,5,16155,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Rejected
Kollabo,company,"Thanks to our unique and large network of temporary offices and our qualified team, we excel at finding the perfect match for job seekers and staffing agencies. Never before has the recruiting process been so easy and hassle-free for you. Become part of our network and experience the magic. It can be that simple with Kollabo – We make work easy.",11-50,14.0,early growth,16K,2018.0,False,False,False,2.78,2.2,operational,2022-08-25 15:32:53,2020-03-23 10:43:13,,0,2022-02-08 05:00:03,5,16155,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Rejected
KASURIA GmbH,company,"Endless and diverse possibilities can make investing in Decentralized Finance extremely complex. Our mission at Kasuria is to help you select, compare and follow-up on the best opportunities based on your strategy and our institutional-grade data, whether you are a professional asset manager or a number-savvy enthusiast.",2-10,8.0,seed,,2021.0,False,False,False,0.0,,operational,2022-08-24 22:51:55,2022-04-28 12:30:21,,0,2022-04-28 13:07:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Leads
GovRadar,company,"GovRadar accelerates, simplifies and automates the procurement process for the public sector - in compliance with the respective procurement law, a few clicks lead to automated tender documents and within a few days suitable offers are available.

Public procurement as simple as online shopping: 
- Automated tender documents through artificial intelligence 
- Complete control & transparency through individual approval
- Offer delivery within a few days 
- Process validated with procurement lawyers",11-50,16.0,early growth,0.2K,2020.0,True,False,False,0.91,0.91,operational,2022-09-06 03:30:23,2020-11-03 19:46:04,58951.0,6,2022-05-19 03:33:23,1,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Prospect
Jiffsy,company,,,,,,,False,False,False,0.0,0.14,operational,2022-05-19 18:03:52,2021-11-08 19:18:18,,0,2022-04-06 02:22:49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rejected
eKidz.eu,company,eKidz.eu is an educational platform that guides parents and teachers in developing children's language skills (in particular reading) with structured content and novel functionality,11-50,15.0,early growth,10K,2017.0,False,False,False,1.45,0.45,operational,2022-09-03 12:56:50,2020-04-29 09:55:34,478893.0,0,2022-04-16 17:00:47,6,9648,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,Rejected
Aklimate,company,aklimate provides businesses of all sizes with a platform to help them reach net zero,2-10,6.0,seed,,2021.0,False,False,False,0.45,0.45,operational,2022-09-03 02:36:48,2021-10-15 13:56:30,532503.0,0,2022-01-21 13:28:37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Prospect
SYNTINELS,company,,11-50,14.0,early growth,,2020.0,False,False,False,0.0,,operational,2022-09-13 16:03:50,2022-09-13 15:50:13,,0,2022-09-13 16:03:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Leads
Neuron Innovations,company,"Neuron believes that aviation can be more efficient, better connected, and safer

Our collaborative networks allow traffic managers, drones and air taxis to see all flying objects in the sky so that collisions can be prevented

We provide an essential service that enables the deployment of future flight technology at scale",2-10,10.0,seed,1K,2019.0,False,False,False,0.0,,operational,2022-09-10 08:14:54,2020-11-04 10:57:08,,0,2020-11-04 12:04:01,1,925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Prospect
SupplyET,company,"We are SupplyET, short for Supply Engine Technologies. We develop cutting-edge software that helps master today's challenges in supply chain planning. Through novel approaches based on latest research, our solutions deliver tangible and sustainable impact. We empower our customers to use the available resources in their production and logistics network more efficiently, to respond more flexibly to changes in demand, and to serve their customers more reliably. Ultimately, this reduces costs, increases sales, and creates competitive advantage.

Thanks to scalable licensing models and low implementation cost, enterprises of all sizes benefit from our solutions, from local manufacturing operations to corporations with global production networks. Currently, we are searching for pilot customers to participate in the development of PF Engine, our new, highly advanced solution for strategic production planning. To learn more, visit our product page and reach out to us at any time.

#SupplyET #SupplyEngineTechnologies

SupplyET Supply Engine Technologies GmbH
c/o Dr. Christian Hochmuth
Winterlindenweg 81
22297 Hamburg, Germany

Telephone: +49 163 3388579
E-mail: contact@SupplyET.com

Court of registration: Düsseldorf, HRB 96233
Imprint and privacy policy: https://contact.SupplyET.com/",2-10,2.0,seed,,2022.0,False,False,False,0.0,0.12,operational,2022-08-29 13:19:24,2022-08-28 21:58:14,,0,2022-08-28 21:58:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Watch/Hold/Reconsider
CashOnLedger,service_provider,,2-10,9.0,seed,,2020.0,True,False,False,0.0,,operational,2022-07-28 00:31:11,2021-06-09 11:11:24,,0,2021-06-09 11:11:25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Watch/Hold/Reconsider
